Producto;Precio;Calificacion
JUEGO DE COMEDOR CONTEMPORANEO EN CAOBA  4/S;27887.5;1
"JUEGO DE APOSENTO IMPERIAL KING SIZE EN CAOBA (80"" X 80"")";105972.5;1
PLANCHA TEFLON BLACK AND DECKER IRBD100;2300.01;3
PLANCHA TEFLON BLACK AND DECKER IRBD100;2300.01;1
BUTACA MODERNA IMPORTADA;15505.45;1
ABEJON  REMINGTON CORTADOR DE PELO HC1080;2300;2
ABEJON  REMINGTON CORTADOR DE PELO HC1080;2300;1
JUEGO DE SALA KILCYS TAPIZ CAOBA Y ROBLE;65440.75;1
ALFOMBRA PARA SALA 140 X 200CM;5617.75;2
ADORNO CENTRO RUBI;8671;1
CAFETERA MONIX/BRA 6 TAZA P/CAFE;2294.25;3
CAFETERA MONIX/BRA 6 TAZA P/CAFE;2294.25;1
ASPIRADORA LENUX KNN;9453;1
BOCINA SUPERSONI C/RADIO (IQ-4115DJ);22074.25;1
BOCINA SUPERSONI C/RADIO (IQ-4115DJ);22074.25;1
CAFETERA MAGEFESA INOX 6 TAZAS P/CAFE;2656.5;3
CAFETERA MAGEFESA INOX 6 TAZAS P/CAFE;2656.5;1
CAFETERA VALIRA INOX 10 TAZAS P//CAFE;4370;4
CAFETERA VALIRA INOX 10 TAZAS P//CAFE;4473.5;2
CAFETERA COLOMBIA MAGEFESA 12 TAZAS;2279.3;1
CAFETERA ELECTRICA ROYAL IU-CFE6P, 6 TAZAS;3473;3
CAFETERA ELECTRICA ROYAL IU-CFE6P, 6 TAZAS;3473;1
FREIDORA DE AIRE ROYAL 8 LTS INOX;10637.5;1
LOTE SARTENES 3 PCS MAGEFESA;3082;1
LOTE SARTENES 3 PCS MAGEFESA;3082;1
MANGUERAS P/JARDIN METAL 50 PIE;2559.9;4
MANGUERAS P/JARDIN METAL 50 PIE;2559.9;1
MANGUERAS KELOS 1/2 X 100 PIE;3645.5;3
MANGUERAS KELOS 1/2 X 100 PIE;3645.5;1
OLLA ARROCERA B Y D RC628W, 28 TAZAS;5060;3
OLLA ARROCERA B Y D RC628W, 28 TAZAS;5060;1
ORGANIZADOR DE BAÑO METAL;1817;1
PISCINA INTEX 4.5M X 2.2M RECTANGULAR;20412.5;3
PISCINA INTEX 4.5M X 2.2M RECTANGULAR;20412.5;1
SET DE TERMO 3 PCS P/HIELO;1403;2
SET DE TERMO 3 PCS P/HIELO;1403;1
SET COOLER PRINCE WARE 3 PCS;8613.5;2
SET COOLER PRINCE WARE 3 PCS;9050.5;1
SARTEN DOBLE DESINI;3162.5;2
SARTEN DOBLE DESINI;3162.5;1
NEVERA NEDOCA MOD. HF-12WS 12PC;38691.75;3
NEVERA NEDOCA MOD. HF-12WS 12PC;38691.75;1
ESTUFA KTC DE 30 GRIS CON TOPE INOXIDABLE MD CEC305066;41112.5;1
ESTUFA DE MESA WALEN 4H MD 401-402-405;4289.5;4
ESTUFA DE MESA WALEN 4H MD 401-402-405;4289.5;1
NEVERA KTC RD43WR 11.33 PIES CON DISPENSADOR/ICE MAKER/INOXIDABLE;51979.99;4
NEVERA KTC RD43WR 11.33 PIES CON DISPENSADOR/ICE MAKER/INOXIDABLE;51979.99;1
LAVADORA  SECADORA FRIGIDAIRE 17KG  FLCG7522AW;96600;1
LAVADORA  SECADORA FRIGIDAIRE 17KG  FLCG7522AW;96600;1
"TV  SAMSUNG   65""  QLED 4K  MOD. QN65Q8DTAFXZA";123758.4;1
"TV  SAMSUNG   65""  QLED 4K  MOD. QN65Q8DTAFXZA";123758.4;1
DISPENSADOR DE AGUA DANILUX BLANCO MOD. DAN-EX100;8603.43;1
DISPENSADOR DE AGUA DANILUX BLANCO MOD. DAN-EX100;8603.43;1
DISPENSADOR DE AGUA DANILUX NEGRO C/BOT.ABAJO MOD. DAN-IN508NG;14332.23;2
DISPENSADOR DE AGUA DANILUX NEGRO C/BOT.ABAJO MOD. DAN-IN508NG;14332.23;1
DISPENSADOR DE AGUA DANILUX DORADO C/BOT.ABAJO MOD. DAN-IN508MR;14332.23;1
EXTRACTOR DE GRASA DRIJA CAMP.60CM ACERO 2CHIM.VIDRI/TEMPL.LUZ MOD. PRIMA TOUCH;18876.69;1
EXTRACTOR DE GRASA DRIJA CAMP.60CM ACERO 2CHIM.VIDRI/TEMPL.LUZ MOD. PRIMA TOUCH;18876.69;1
EXTRACTOR DE GRASA DRIJA CAMP. 76CM ACERO S/CHIMENEAS  MOD.GALAXY76;17437.92;3
EXTRACTOR DE GRASA DRIJA CAMP. 76CM ACERO S/CHIMENEAS  MOD.GALAXY76;17437.92;1
"TV  KONKA   LED 43"" FHD FLAT SMART 3HDMI 2  TVK-KDG43M";25300;1
SANDWICHERA OSTER SO-CKSTSM2885-001U;2386.24;5
SANDWICHERA OSTER SO-CKSTSM2885-001U;2386.24;1
ESTUFA WHIRLPOOL 24 EMPOSTRABLE WP2420S;16100;2
ESTUFA WHIRLPOOL 24 EMPOSTRABLE WP2420S;16100;1
NEVERA NEDOCA TOP. MOUNT, 8 PC- NO FROST NN-HF208DSD;34212.49;1
NEVERA EJECUTIVA NEDOCA BLANCA  NN-ME4B;16675.01;1
NEVERA EJECUTIVA NEDOCA BLANCA  NN-ME4B;16675.01;1
TELEVISOR AMERICAN LED SM MOD.-AM-32D2000  32PULG;20815;3
TELEVISOR AMERICAN LED SM MOD.-AM-32D2000  32PULG;20815;1
TELEVISOR AMERICAN UHD MOD.AM-39D1840  39PULG;22885;2
TELEVISOR AMERICAN UHD MOD.AM-39D1840  39PULG;22885;1
ESTUFA OSTER MESA 4/HORN.  NEGRA  MOD. OS-GST04B;2858.84;1
ESTUFA OSTER MESA 4/HORN.  NEGRA  MOD. OS-GST04B;2858.84;1
"ABANICO PEDESTAL 18"" DISCOVERY";3318.74;1
ABANICO DE PARED DAIWA;3303.02;3
ABANICO DE PARED DAIWA;3303.02;1
"ESTUFA DE 30"" CON HORNO DISCOVERY";32688.09;1
"ESTUFA DE 30"" CON HORNO DISCOVERY";32688.09;1
ESTUFA DE MESA 4H DE GAS DISCOVERY;3318.74;4
ESTUFA DE MESA 4H DE GAS DISCOVERY;3318.74;1
NEVERA 10 PCDISCOVERY;45023.22;2
NEVERA 10 PCDISCOVERY;45023.22;1
CILINDRO DE GAS 50LB DURAGAS;6504.4;1
"ESTUFA DE GAS MABE  30"" NEG. EM 7651BFINO";35295.57;1
"ESTUFA DE GAS MABE  30"" NEG. EM 7651BFINO";35295.57;1
"ESTUFA DE GAS MABE 30"" AC EM7660CFIX1";50656.81;2
"ESTUFA DE GAS MABE 30"" AC EM7660CFIX1";50656.81;1
LICUADORA OSTER BLST4655;8270.92;3
LICUADORA OSTER BLST4655;8270.92;1
LAVADORA NEDOCA 22LBS SEMI-AUTOM. GRIS LN-MTJ100;39472.63;1
LAVADORA NEDOCA 22LBS SEMI-AUTOM. GRIS LN-MTJ100;39472.63;1
NEVERA WHIRLPOOL WT1431D 14’ INOX TM XPERT;58362.51;1
PISCINA 12X30;14030;4
PISCINA 12X30;14030;1
PISCINA 2.6 METROS;10867.49;4
PISCINA 2.6 METROS;10867.49;1
MANGUERA ½ X 100;2472.5;4
MANGUERA ½ X 100;2472.5;1
MOTOR GATO CG250 RACING DIGITAL;107640;1
JARRADECORATIVA ANFORA;4439;1
MESA P/COMPUTADORA REY;5980;1
MESA P/COMPUTADORA REY;5980;1
OLLA PRESION ROYAL IU-9 LSS;8533;2
SET ADORNO BUHO;3944.5;2
"SET TOALLAS DE BAÑO 30""  X  60""";2018.25;5
"SARTEN FUNDIDO GENERAL STORE 10""";2173.5;5
"SARTEN FUNDIDO GENERAL STORE 10""";2173.5;1
TABLA DE CORTAR BRA CON AFILADOR;2179.25;3
TABLA DE CORTAR BRA CON AFILADOR;2179.25;1
"ESTUFA ACR 30"" GRIS CON TOPE INOXIDABLE PUNTA CANA CELINA";35144.01;3
"ESTUFA ACR 30"" GRIS CON TOPE INOXIDABLE PUNTA CANA CELINA";35144.01;1
NEVERA WHIRLPOOL MOD.WRW32CKTWW GRIS 11PC;43050.25;2
NEVERA WHIRLPOOL MOD.WRW32CKTWW GRIS 11PC;43050.25;1
TELEVISOR LG DE 32 SMART MD 32LM57;26438.5;1
WAFLERA OSTER CG-120;5635;3
WAFLERA OSTER CG-120;5635;1
NEVERA MABE DE 12 PIES 2PTAS C/DISP MOD.RMA 300FZNC NEGRA;44275;2
NEVERA MABE DE 12 PIES 2PTAS C/DISP MOD.RMA 300FZNC NEGRA;44275;1
MESA PLASTICA REDONDA PLEGABLE 60;10350;2
MESA PLASTICA REDONDA PLEGABLE 60;10350;1
ABANICO DE PARED TECNOMASTER 18 PLG M/FW45-F3;3438.5;2
ABANICO DE PARED TECNOMASTER 18 PLG M/FW45-F3;3176.24;2
TELEVISOR JVC 50 SMART LT50KC607/LT50KC527;54625;2
TELEVISOR JVC 50 SMART LT50KC607/LT50KC527;54625;1
"JUEGO DE APOSENTO MODERNO IMPORTADO DE 60""";66930;1
GAVETERO KAROL EN CAOBA;43153.75;1
MESA AUXILIAR IMPORTADA;6581.45;1
"JUEGO DE HABITACION  DOÑA YENNY EN CAOBA  60""";82914.99;1
JUEGO COMEDOR FLORA CAOBA  6/S;2239.42;1
CALDERO REALES 24CM NEGRO;1759.5;1
CALDERO REALES 24CM NEGRO;1759.5;1
CALDERO REALES 20CM NEGRO;1552.5;2
CALDERO REALES 20CM NEGRO;1610;1
CALDERO REALES 32CM NEGRO;2535.75;3
CALDERO REALES 32CM NEGRO;2622;1
ESTUFA ELECTRICA DOS HORNILLA B Y D;2645;2
ESTUFA ELECTRICA UNA HORNILLA B Y D;1828.5;1
ESTUFA ELECTRICA UNA HORNILLA B Y D;1828.5;1
ESCURRIDOR PARA PLATOS;1230.51;3
ESCURRIDOR PARA PLATOS;1265;1
EXTRACTOR JUGO UNIV. ROYAL IU-827S;5129;1
EXTRACTOR JUGO UNIV. ROYAL IU-827S;5129;1
LICUADORA PERSONAL BRENTWOOD JB 197;3024.5;3
LICUADORA PERSONAL BRENTWOOD JB 197;3050.38;2
LONCHERA PLASTICA PARA COMIDA;713;4
LONCHERA PLASTICA PARA COMIDA;713;1
OLLA DE PRESION ROYAL 11 LTS;3910;2
OLLA DE PRESION ROYAL 11 LTS;3910;1
OLLA ARROCERA ROYAL  IU-OA28 UNIV;4657.5;3
OLLA ARROCERA ROYAL  IU-OA28 UNIV;4657.5;1
PLANCHA VAPORZADOR B Y D HGS 250-LA;4255;2
PLANCHA VAPORZADOR B Y D HGS 250-LA;4255;1
PISCINA INTEX 2.6M X 1.6M X 0.65M;13995.5;3
PISCINA INTEX 2.6M X 1.6M X 0.65M;13995.5;1
"PISCINA INTEX 8 PIE X 20"" REDONDA";9775;4
"PISCINA INTEX 8 PIE X 20"" REDONDA";9775;1
SARTEN FRY PAN IU-2203091;1288;2
SARTEN FRY PAN IU-2203091;1288;1
TOSTADOR PROFESIONAL ROYAL RAS-052 1N;4807;2
TOSTADOR PROFESIONAL ROYAL RAS-052 1N;4807;1
WAFLERA OSTER (CKSTSM-2885);3818;4
WAFLERA OSTER (CKSTSM-2885);3818;1
"COLCHON S.A COMFORT P.T FLEX  60""";24286.23;1
"JUEGO SPRING AIR ROYAL 60""";22797.6;1
"JUEGO PT SPRING AIR  60""";29061.51;1
"ESTUFA MABE MOD. 5022 NEGRA DE 20""";15985;1
ABANICO DISCOVERY DE PARED 18P MD ABAD;5002.5;5
ABANICO DISCOVERY DE PARED 18P MD ABAD;5002.5;1
FREEZER GOLD P DE 12 PIES MD GPF125WWH;40307.5;2
FREEZER GOLD P DE 12 PIES MD GPF125WWH;40307.5;1
BOCINA PORTATIL BLUETOOTH LX20;10350;1
FREEZER HORIZONTAL DANILUX 11'   BLANCO /LAMP LED MOD. DAN-288L;33738.86;2
FREEZER HORIZONTAL DANILUX 11'   BLANCO /LAMP LED MOD. DAN-288L;33738.86;1
EXTRACTOR DE GRASA SANKEY 36” TIPO CAMP. ACE INOX MOD.RH-90336S;14909.65;1
EXTRACTOR DE GRASA SANKEY 36” TIPO CAMP. ACE INOX MOD.RH-90336S;14909.65;1
"OLLA ARROCERA 20"" TAZAS HAMILTON BEACH MOD. HB7532";3028.1;2
"OLLA ARROCERA 20"" TAZAS HAMILTON BEACH MOD. HB7532";3028.1;1
"TV  AIWA  LED 32""  HD FLAT SMART 2HDMI,  TVA-AW32B4SM";24150;3
"TV  AIWA  LED 32""  HD FLAT SMART 2HDMI,  TVA-AW32B4SM";24150;1
AIRE ACONDICIONADO FRIGIDAIRE AAF-12A2MBIUW 12,000BTU SEER 18;51750;4
AIRE ACONDICIONADO FRIGIDAIRE AAF-12A2MBIUW 12,000BTU SEER 18;51750;1
"EXTRACTOR DE GRASA NEDOCA  36""  T/CAMPANA  EXN-36CASS-001-U";15525;4
"EXTRACTOR DE GRASA NEDOCA  36""  T/CAMPANA  EXN-36CASS-001-U";15525;1
"ESTUFA DANILUX  20""  4/HORN.  NEGRA  MOD. DAN-20AB";8084.5;2
"ARROCERA HAMILTON BEACH  20"" TAZAS  MOD. HB7538";3028.1;1
"ARROCERA HAMILTON BEACH  20"" TAZAS  MOD. HB7538";3028.1;1
"SOPORTE DE TV DANILUX DAN-02F DE 40"" A 70"" FIJA";663.29;1
"SOPORTE DE TV DANILUX DAN-02F DE 40"" A 70"" FIJA";663.29;1
"SOPORTE DE TV DANILUX DAN-03M DE 22"" A 55"" MOVIBLE";1260.27;3
"SOPORTE DE TV DANILUX DAN-03M DE 22"" A 55"" MOVIBLE";1260.27;1
"ABANICO DE PARED 16"" DISCOVERY";3514.54;3
"ABANICO DE PARED 16"" DISCOVERY";3514.54;1
BEBEDERO DAIWA;9860.41;1
ESTUFA ELECTRICA 1HDISCOVERY;1399.94;3
ESTUFA ELECTRICA 1HDISCOVERY;1399.94;1
NEVERA 12  PCDISCOVERY;49692.95;2
NEVERA 12  PCDISCOVERY;49692.95;1
CONGELADOR 5 PIES DISCOVERY;25442.6;1
CONGELADOR 5 PIES DISCOVERY;25442.6;1
CONGELADOR 10 PIES DISCOVERY;45805.64;1
CONGELADOR 10 PIES DISCOVERY;45805.64;1
"TV SMART 32"" DISCOVERY";19373.98;1
PLANCHA ROPA AZUL OSTER  GCSTBS-5002;1798.03;1
PLANCHA ROPA AZUL OSTER  GCSTBS-5002;1798.03;1
PLANCHA ROPA OSTER GCSTBS-6051;3243.23;1
PLANCHA ROPA OSTER GCSTBS-6051;3243.23;1
ESTUFA DE GAS MABE 20¨ NEG. EMA-5105SNO;16541.83;1
ESTUFA DE MESA GRIS AMERICAN 165-N 4/H;2646.15;2
ESTUFA DE MESA GRIS AMERICAN 165-N 4/H;2646.15;1
LICUADORA OSTER ROJA  BLST4126R;8304.84;2
LICUADORA OSTER ROJA  BLST4126R;8304.84;1
"TELEVISOR SM TCL 32"" L-3256500";17369.6;1
"TELEVISOR SM TCL 32"" L-3256500";17369.6;1
NEVERA C/DISP. AC MABE 10P.C  RMA-250FJMRU1;44312.84;1
NEVERA C/DISP. AC MABE 10P.C  RMA-250FJMRU1;44312.84;1
NEVERA C/DISP. GRIS MABE 10 P.C. RMA-250FAMRE1;39692.25;2
NEVERA C/DISP. GRIS MABE 10 P.C. RMA-250FAMRE1;39692.25;1
LAVADORA NEDOCA 24LBS SEMI-AUTM. AGUA LN-MTG1100;39473.34;2
LAVADORA NEDOCA 24LBS SEMI-AUTM. AGUA LN-MTG1100;39473.34;1
NEVERA WHIRLPOOL WT1856A 18’ INOX TM DISP XPERT;86235.63;1
NEVERA WHIRLPOOL WT1856A 18’ INOX TM DISP XPERT;86235.63;1
GRECA DE 6 TZS CLASICA;644;4
GRECA DE 6 TZS CLASICA;644;1
GRECA DE 9 TZS CLASICA;908.5;4
GRECA DE 9 TZS CLASICA;908.5;1
GRECA DE 12 TZS CLASICA;1023.5;4
GRECA DE 12 TZS CLASICA;1023.5;1
